BK,奥凯航空有限公司,北京
JD,北京首都航空有限公司,北京
EU,成都航空有限公司,四川成都
9C,春秋航空有限公司,上海
2Z,长安航空有限责任公司,陕西西安
OQ,重庆航空有限公司,重庆
CN,大新华航空有限公司,海南海口
JI,翡翠国际货运航空有限责任公司,广东深圳
HU,海南航空股份有限公司,海南海口
G5,华夏航空有限公司,贵州贵阳
NS,河北航空有限公司,河北石家庄
KY,昆明航空有限公司,云南昆明
QW,青岛航空股份有限公司,山东青岛
HO,上海吉祥航空有限公司,上海
SC,山东航空股份有限公司,山东济南
FM,上海航空股份有限公司,上海
3U,四川航空公司,四川成都
ZH,深圳航空有限责任公司,广东深圳
GS,天津航空有限责任公司,天津
MF,厦门航空有限公司,福建厦门
JR,幸福航空有限责任公司,陕西西安
TV,西藏航空有限公司,西藏拉萨
PN,西部航空有限责任公司,重庆
Y8,扬子江快运航空有限公司,上海
8L,云南祥鹏航空有限责任公司,云南昆明
CZ,中国南方航空股份有限公司,广东广州
KN,中国联合航空有限公司,北京
CK,中国货运航空有限公司,北京
CA,中国国际航空股份有限公司,北京
MU,中国东方航空公司,上海
8Y,中国货运邮政航空公司,北京
FL,中国飞龙专业航空公司,黑龙江哈尔滨
AQ,九元航空有限公司,广东广州
