PEK,北京首都国际机场,北京
PKX,北京大兴国际机场,北京
PVG,上海浦东国际机场,上海
CAN,广州白云国际机场,广州
SHA,上海虹桥国际机场,上海
MFM,澳门国际机场,澳门
SZX,深圳宝安国际机场,深圳
CSX,长沙黄花国际机场,长沙
CKG,重庆江北国际机场,重庆
HGH,杭州萧山国际机场,杭州
HKG,香港国际机场,香港
CTU,成都双流国际机场,成都
KMG,昆明长水国际机场,昆明
XIY,西安咸阳国际机场,西安
SWA,揭阳潮汕国际机场,汕头
CGQ,长春龙嘉国际机场,长春
HAK,海口美兰国际机场,海口
NKG,南京禄口国际机场,南京
CGO,郑州新郑国际机场,郑州
HFE,合肥新桥国际机场,合肥
TNA,济南遥墙国际机场,济南
KHN,南昌昌北国际机场,南昌
HRB,哈尔滨太平国际机场,哈尔滨
DLC,大连国际机场,大连
KWE,贵阳龙洞堡国际机场,贵阳
XMN,厦门高崎国际机场,厦门
WUH,武汉天河国际机场,武汉
FOC,福州长乐国际机场,福州
TPE,台北桃园国际机场,台北
ZUH,珠海金湾机场,珠海
URC,乌鲁木齐地窝堡国际机场,乌鲁木齐
SYX,三亚凤凰国际机场,三亚
LXA,拉萨贡嘎国际机场,拉萨
SHE,沈阳桃仙国际机场,沈阳
TSN,天津滨海国际机场,天津
NGB,宁波栎社国际机场,宁波
HET,呼和浩特白塔国际机场,呼和浩特
NNG,南宁吴圩国际机场,南宁
LHW,兰州中川国际机场,兰州
YNT,烟台蓬莱国际机场,烟台
INC,银川河东国际机场,银川
WDS,十堰武当山机场,十堰
TAO,青岛流亭国际机场,青岛
JJN,泉州晋江国际机场,泉州
SJW,石家庄正定国际机场,石家庄
KWL,桂林两江国际机场,桂林
CZX,常州奔牛国际机场,常州
HLD,海拉尔东山机场,海拉尔
KHH,高雄国际机场,高雄
HNY,衡阳南岳机场,衡阳
LJG,丽江三义机场,丽江
WNZ,温州龙湾国际机场,温州
NTG,南通兴东机场,南通
TYN,太原武宿国际机场,太原
HIA,淮安涟水机场,淮安
WUX,无锡硕放国际机场,无锡
HYN,台州路桥机场,黄岩
NNY,南阳姜营机场,南阳
YBP,宜宾五粮液机场,宜宾
NAY,北京南苑机场,北京南苑
WGN,邵阳武冈机场,武冈
YIH,宜昌三峡机场,宜昌
DLU,大理机场,大理
MIG,绵阳南郊机场,绵阳
DYG,张家界荷花机场,张家界
HUZ,惠州平潭机场,惠州
YSQ,松原查干湖机场,松原
KOW,赣州黄金机场,赣州
BHY,北海福成机场,北海
TXN,黄山屯溪国际机场,黄山
XNN,西宁曹家堡机场,西宁
TSA,台北松山国际机场,台北
WEH,威海大水泊机场,威海
JHG,西双版纳嘎洒机场,西双版纳
XUZ,徐州观音国际机场,徐州
XFN,襄阳刘集机场,襄樊
LYA,洛阳北郊机场,洛阳
ZHA,湛江机场,湛江
ZYI,遵义新舟机场,遵义
LFQ,临汾乔李机场,临汾
HZG,汉中城固机场,汉中
DSN,鄂尔多斯伊金霍洛机场,鄂尔多斯
